customer_id,first_name,last_name,email,phone_number,address,city,state,country,postal_code,created_at
CTM000000001,Mark,Campbell,masonernest@hotmail.com,+1-838-820-1514x977,4913 Swanson Lodge Suite 765,New Rachel,Florida,Romania,NULL,2021-02-01
CTM000000002,Mary,Rios,prestonsusan@hotmail.com,849-434-5776x6138,5009 Heidi Ranch Suite 678,East Sophia,NULL,Vietnam,50783,2020-04-17
CTM000000003,Sandra,Riley,mooresteve@yahoo.com,(185)360-8780x7202,38811 Alexander Ports,Fosterfort,NULL,Cyprus,NULL,2021-07-23
CTM000000004,Sheryl,Gonzalez,kennethwright@gmail.com,(567)071-9056x5743,7054 Cardenas Flats Apt. 164,New Sophiamouth,NULL,Jamaica,NULL,2022-03-20
CTM000000005,Jennifer,Williams,dferguson@gmail.com,312-926-6254x78009,040 Kimberly Lights Apt. 597,North Anthonyshire,Arizona,Korea,68534,2024-06-21
CTM000000006,Sharon,Scott,crystalchandler@yahoo.com,693.908.9413,859 Jimenez Pine,East Daniel,Minnesota,French Polynesia,87047,2024-10-08
CTM000000007,Dana,Pena,crystal11@douglas.com,001-094-294-1259x7999,323 Shelton Mountain,Phelpston,NULL,Switzerland,95909,2024-08-13
CTM000000008,Barbara,Flores,kimberlydecker@holland.org,838.744.3081x8363,939 Thornton Falls,Goodwinbury,Alabama,Latvia,46146,2022-10-16
CTM000000009,Anita,Pierce,jeffreycamacho@hess.biz,5776771928,30287 Lara Groves,West Wesleyburgh,Utah,Taiwan,27923,2023-09-19
CTM000000010,Alexander,Kim,wheelerdawn@yahoo.com,001-972-655-7136x49674,45375 Michael Stravenue Suite 488,Port Marcus,NULL,Palau,93194,2021-02-13
CTM000000011,Lisa,Diaz,fuentesleonard@alvarez-wright.com,-7983,680 William Fords,Port Brandiview,NULL,Gibraltar,23763,2024-04-15
CTM000000012,Luke,Benton,sandraevans@yoder.com,001-892-349-5245x70515,782 Lee Plains Apt. 324,South Christopher,Texas,Mali,NULL,2021-07-13
CTM000000013,Jennifer,Watts,qbenjamin@yahoo.com,(237)038-5478x72681,92294 Kelsey Station,Lake Jeffrey,Wisconsin,Timor-Leste,NULL,2021-09-28
CTM000000014,Michael,Jennings,pruittmichael@yahoo.com,(418)925-8831x400,6303 William Meadows,Leeport,Maryland,Kiribati,NULL,2023-03-25
CTM000000015,Scott,Simmons,christopherhernandez@hotmail.com,(086)286-8564x347,88230 Melissa Plains Suite 289,Randallborough,NULL,Cote d'Ivoire,52487,2021-11-19
CTM000000016,John,Christian,ewilliams@gmail.com,001-628-033-6490x8474,163 Castaneda Station,Port Wendy,Iowa,Western Sahara,8504,2020-12-30
CTM000000017,Paul,Young,wwhite@gmail.com,455.414.0857x96229,10848 Miller Light Suite 002,Macdonaldport,NULL,Namibia,84012,2021-01-17
CTM000000018,Scott,Salazar,williamwalters@gmail.com,001-624-410-6678x8457,16502 Hernandez Forest,West Joseph,NULL,Tanzania,60914,2020-10-23
CTM000000019,Lauren,May,navila@brooks.com,(066)714-8533x317,7955 Moss Circles,New Samantha,Maine,Sao Tome and Principe,21028,2020-03-18
CTM000000020,Lori,White,kristi20@willis.com,680.126.9625x050,324 Jesse Rapid Suite 303,West Brandon,New York,El Salvador,NULL,2021-06-16
CTM000000021,Kristina,Allen,kenneth37@long.org,285-803-3086x414,329 Zachary Valleys Apt. 504,Guerreromouth,Massachusetts,British Indian Ocean Territory (Chagos Archipelago),28210,2024-02-18
CTM000000022,Tracy,Garcia,qking@armstrong-hall.com,001-171-740-0345x688,657 Timothy Tunnel Suite 966,Doughertymouth,Iowa,India,NULL,2020-08-28
CTM000000023,Katrina,York,dale08@gmail.com,-9180,43935 Richard Dam Suite 957,Brookschester,NULL,Moldova,NULL,2024-12-01
CTM000000024,Savannah,Robinson,egonzalez@jones.net,353-764-2983,39539 Taylor Square,Williamsside,NULL,Comoros,79155,2024-12-01
CTM000000025,Mary,Hobbs,davisjonathan@hotmail.com,475.473.7704x9909,8194 Carson Loaf Suite 977,New Paul,Texas,Cook Islands,NULL,2020-05-05
CTM000000026,Matthew,Harris,nielsenapril@hotmail.com,4175694307,88771 Benton Ports,South Lukemouth,Iowa,Isle of Man,40897,2020-10-04
CTM000000027,David,Baker,tbarajas@yahoo.com,126.572.8182x912,988 Buck Expressway Suite 991,Johnsonhaven,NULL,Bolivia,NULL,2024-12-05
CTM000000028,Kimberly,Liu,dreeves@norton.com,855-967-0716,8144 Adam Summit Suite 075,Williamsbury,Arkansas,Saint Lucia,NULL,2022-10-27
CTM000000029,Tanya,Williams,breannawarren@gmail.com,(885)427-3449,925 Laura Row Suite 366,Victoriamouth,NULL,Madagascar,NULL,2024-12-05
